Time, BusinessCycle, InterestRate
1, 0.309017, 0.09
2, 0.587785, 0.09
3, 0.809017, 0.09
4, 0.951057, 0.09
5, 1, 0.09
6, 0.951056, 0.09
7, 0.809017, 0.09
8, 0.587785, 0.09
9, 0.309017, 0.09
10, -8.74228e-08, 0.09
11, -0.309017, 0.09
12, -0.587785, 0.09
13, -0.809017, 0.09
14, -0.951056, 0.09
15, -1, 0.06
16, -0.951056, 0.06
17, -0.809017, 0.06
18, -0.587785, 0.06
19, -0.309017, 0.06
20, 1.74846e-07, 0.06
21, 0.309017, 0.06
22, 0.587785, 0.06
23, 0.809017, 0.06
24, 0.951057, 0.06
25, 1, 0.06
26, 0.951056, 0.06
27, 0.809017, 0.06
28, 0.587785, 0.06
29, 0.309017, 0.06
30, -2.38498e-08, 0.03
31, -0.309017, 0.03
32, -0.587785, 0.03
33, -0.809017, 0.03
34, -0.951057, 0.03
35, -1, 0.03
36, -0.951056, 0.03
37, -0.809017, 0.03
38, -0.587785, 0.03
39, -0.309017, 0.03
40, 3.49691e-07, 0.03
41, 0.309017, 0.03
42, 0.587786, 0.03
43, 0.809017, 0.03
44, 0.951056, 0.03
45, 1, 0.06
46, 0.951056, 0.06
47, 0.809017, 0.06
48, 0.587785, 0.06
49, 0.309016, 0.06
50, -6.75532e-07, 0.06
51, -0.309018, 0.06
52, -0.587786, 0.06
53, -0.809018, 0.06
54, -0.951057, 0.06
55, -1, 0.06
56, -0.951057, 0.06
57, -0.809017, 0.06
58, -0.587785, 0.06
59, -0.309017, 0.06
60, 4.76995e-08, 0.09
61, 0.309017, 0.09
62, 0.587785, 0.09
63, 0.809017, 0.09
64, 0.951057, 0.09
65, 1, 0.09
66, 0.951056, 0.09
67, 0.809016, 0.09
68, 0.587784, 0.09
69, 0.309016, 0.09
70, -1.32722e-06, 0.09
71, -0.309018, 0.09
72, -0.587787, 0.09
73, -0.809017, 0.09
74, -0.951056, 0.09
75, -1, 0.06
76, -0.951056, 0.06
77, -0.809017, 0.06
78, -0.587785, 0.06
79, -0.309016, 0.06
80, 6.99382e-07, 0.06
81, 0.309018, 0.06
82, 0.587786, 0.06
83, 0.809018, 0.06
84, 0.951057, 0.06
85, 1, 0.06
86, 0.951056, 0.06
87, 0.809016, 0.06
88, 0.587785, 0.06
89, 0.309017, 0.06
90, -7.15493e-08, 0.03
91, -0.309017, 0.03
92, -0.587786, 0.03
93, -0.809017, 0.03
94, -0.951057, 0.03
95, -1, 0.03
96, -0.951056, 0.03
97, -0.809016, 0.03
98, -0.587784, 0.03
99, -0.309016, 0.03
100, 1.35106e-06, 0.03
