Time, AgentID, Side, Price, Qty, GrowthRate, Behaviour, Horizon, Cash, Shares, MktPrice
1, 60, 1, 103.67, 15, 183, 1, 9, 0, 78, 100
1, 76, 0, 100.46, 793, -113, 1, 8, 111416, 0, 100
1, 71, 0, 98.67, 3709, -183, 1, 2, 572870, 0, 100
1, 6, 0, 103.76, 5104, 4, 0, 4, 953892, 0, 100
1, 28, 1, 99.3, 8, 22, 0, 7, 0, 9, 103.67
1, 36, 1, 98.18, 6, 10, 0, 9, 0, 25, 100.46
1, 92, 1, 98.09, 171, 101, 1, 3, 0, 552, 100.46
1, 54, 0, 95.77, 3461, 158, 1, 2, 931781, 0, 100.46
1, 81, 0, 99.2, 108, -184, 1, 5, 45957, 0, 100.46
1, 67, 1, 104.86, 187, -170, 1, 7, 0, 309, 100.46
1, 95, 1, 101.38, 21, -172, 1, 7, 0, 57, 100.46
1, 15, 1, 105.48, 86, 0, 0, 7, 0, 147, 100.46
1, 96, 0, 98.64, 231, -145, 1, 4, 34956, 0, 100.46
1, 35, 1, 99.48, 124, 11, 0, 6, 0, 563, 100.46
1, 74, 1, 95.48, 28, 110, 1, 4, 0, 36, 100.46
1, 23, 1, 100.37, 34, -34, 0, 2, 0, 37, 100.46
1, 19, 0, 98.2, 1970, -8, 0, 9, 459217, 0, 100.46
1, 40, 0, 96.64, 78, 6, 0, 8, 8213, 0, 100.46
1, 14, 0, 97.85, 66, -15, 0, 5, 71448.8, 0, 100.46
1, 64, 0, 101.46, 36, 197, 1, 5, 13182.2, 0, 100.46
1, 50, 0, 101.42, 660, -163, 1, 2, 977862, 0, 101.38
1, 37, 0, 102.46, 1608, -3, 0, 2, 653558, 0, 101.38
1, 9, 1, 103.05, 77, -7, 0, 3, 0, 197, 101.38
1, 30, 0, 102.72, 1135, 25, 0, 4, 845767, 0, 101.38
1, 72, 1, 102.36, 312, -159, 1, 7, 0, 433, 101.38
1, 22, 1, 98.86, 29, -9, 0, 9, 0, 140, 102.72
1, 26, 0, 97.64, 343, 3, 0, 5, 171936, 0, 102.72
1, 90, 0, 103.17, 1093, -109, 1, 9, 407710, 0, 102.72
1, 44, 0, 99.42, 63, -1, 0, 6, 17387, 0, 103.05
1, 84, 1, 106.8, 63, 184, 1, 2, 0, 172, 103.05
1, 3, 0, 98.34, 196, -8, 0, 5, 248624, 0, 103.05
1, 10, 1, 99.65, 125, -10, 0, 5, 0, 278, 103.05
1, 27, 1, 102.67, 187, 28, 0, 9, 0, 234, 102.72
1, 42, 1, 106.03, 65, -2, 0, 5, 0, 74, 102.72
1, 89, 0, 106.14, 133, -139, 1, 8, 23837, 0, 102.72
1, 94, 1, 102.82, 62, 159, 1, 7, 0, 65, 104.86
1, 38, 1, 109.93, 151, -7, 0, 3, 0, 764, 104.86
1, 43, 1, 100.19, 28, 3, 0, 2, 0, 443, 104.86
1, 29, 1, 101.85, 9, -9, 0, 3, 0, 200, 102.72
1, 18, 0, 104.58, 900, 3, 0, 9, 111225, 0, 102.72
1, 68, 1, 101.97, 260, -195, 1, 8, 0, 356, 102.82
1, 16, 0, 101.96, 29, -2, 0, 8, 4110, 0, 102.72
1, 55, 0, 99.08, 158, 147, 1, 3, 20380, 0, 102.72
1, 99, 0, 105.38, 600, -145, 1, 7, 149244, 0, 102.72
1, 73, 0, 103.91, 260, -160, 1, 8, 271350, 0, 104.86
1, 93, 1, 100.15, 15, -126, 1, 10, 0, 55, 104.86
1, 20, 0, 106.31, 4034, -3, 0, 5, 463726, 0, 103.91
1, 91, 1, 111.28, 23, 100, 1, 3, 0, 49, 106.03
1, 79, 1, 103.16, 23, -158, 1, 10, 0, 41, 106.03
1, 47, 0, 100.48, 2651, 2, 0, 2, 280819, 0, 103.91
1, 12, 1, 101.18, 1, 10, 0, 8, 0, 176, 103.91
1, 21, 0, 100.76, 6937, 3, 0, 8, 926785, 0, 103.91
1, 56, 1, 104.24, 50, 172, 1, 6, 0, 475, 103.91
2, 81, 0, 105.42, 123, -184, 1, 5, 35243.4, 0, 103.91
2, 76, 1, 107.35, 169, -113, 1, 8, 32443, 371, 104.24
2, 39, 1, 99.41, 1, 10, 0, 6, 0, 3, 104.24
2, 32, 1, 106.11, 19, -17, 0, 4, 0, 42, 103.91
2, 29, 1, 103.91, 42, -9, 0, 3, 924.48, 191, 103.91
2, 30, 1, 104.78, 289, 25, 0, 4, 730071, 950, 103.91
2, 6, 1, 101.26, 13, 4, 0, 4, 425859, 15, 103.91
2, 63, 0, 99.01, 323, -155, 1, 4, 34849.6, 0, 103.91
2, 36, 1, 108.34, 16, 10, 0, 9, 602.76, 19, 103.91
2, 28, 0, 104.96, 3, 22, 0, 7, 803.68, 1, 103.91
2, 71, 0, 108.58, 1690, -183, 1, 2, 206903, 0, 104.78
2, 92, 1, 113.59, 302, 101, 1, 3, 17178.7, 381, 108.34
2, 14, 0, 104.87, 97, -15, 0, 5, 64990.7, 0, 108.34
2, 7, 0, 113.33, 231, -18, 0, 3, 214066, 0, 108.34
2, 58, 0, 113.39, 731, 118, 1, 4, 345423, 0, 111.28
2, 89, 0, 108.56, 83, -139, 1, 8, 9890.62, 133, 111.28
2, 59, 0, 107.04, 4758, 158, 1, 3, 749122, 0, 111.28
2, 60, 1, 111.5, 49, 183, 1, 9, 1555.05, 63, 111.28
2, 97, 1, 109.59, 526, 190, 1, 2, 0, 613, 113.39
2, 93, 0, 116.08, 11, -126, 1, 10, 1558.65, 40, 113.39
2, 53, 0, 112.5, 257, 187, 1, 3, 315059, 0, 113.59
2, 47, 0, 114.81, 119, 2, 0, 2, 14446.5, 0, 113.59
2, 83, 0, 118.38, 2900, 159, 1, 5, 417740, 0, 113.59
2, 84, 1, 117.13, 107, 184, 1, 2, 6728.4, 109, 113.59
2, 44, 0, 109.59, 88, -1, 0, 6, 11123.5, 0, 113.59
2, 34, 1, 112.16, 81, 15, 0, 7, 0, 125, 113.59
2, 90, 1, 111.37, 42, -109, 1, 9, 302898, 77, 113.39
2, 8, 0, 114.35, 1087, 20, 0, 10, 410841, 0, 113.39
2, 49, 0, 115.47, 3403, 3, 0, 8, 501361, 0, 113.39
2, 1, 1, 111.96, 58, 4, 0, 3, 0, 100, 113.39
