Time, LastPrice, Volume, BestBid, BestAsk, Spread, Mid, BuyLevels, SellLevels, BuyQty, SellQty, FCF, InterestRate, BusinessCycle
1, 103.91, 1873, 103.91, 104.24, 0.329994, 104.075, 19, 4, 23096, 287, 25000, 0.15, 0.0627905
2, 133.92, 2277, 131.46, 133.92, 2.45999, 132.69, 38, 3, 46485, 230, 25000, 0.15, 0.125333
3, 145.93, 989, 145.84, 145.93, 0.0899963, 145.885, 59, 7, 67722, 762, 25000, 0.15, 0.187381
4, 170.15, 1889, 170.43, 172.18, 1.75, 171.305, 84, 8, 76192, 194, 25000, 0.15, 0.24869
5, 187.34, 635, 187.8, 190.97, 3.17, 189.385, 106, 9, 81760, 327, 25000, 0.15, 0.309017
6, 218.44, 910, 209.28, 229.03, 19.75, 219.155, 126, 3, 84004, 60, 25000, 0.15, 0.368125
7, 218.07, 1491, 221.18, 227.77, 6.59001, 224.475, 139, 5, 87632, 307, 25000, 0.15, 0.425779
8, 225.18, 2157, 225.18, 227.77, 2.59001, 226.475, 145, 13, 86854, 543, 25000, 0.15, 0.481754
9, 229.75, 1137, 229.44, 229.75, 0.309998, 229.595, 166, 17, 89039, 922, 25000, 0.15, 0.535827
10, 235.53, 1455, 230.94, 232.72, 1.78, 231.83, 178, 14, 90271, 989, 25000, 0.15, 0.587785
11, 232.09, 1379, 232.09, 232.71, 0.62001, 232.4, 189, 19, 69254, 645, 25000, 0.15, 0.637424
12, 236.86, 998, 236.86, 237.68, 0.819992, 237.27, 206, 13, 47870, 289, 25000, 0.15, 0.684547
13, 245.77, 576, 245.77, 246.46, 0.690002, 246.115, 223, 17, 31530, 949, 25000, 0.15, 0.728969
14, 245.17, 2435, 244.41, 250.93, 6.51999, 247.67, 229, 23, 25141, 669, 25000, 0.15, 0.770513
15, 251.79, 2102, 252.65, 256.95, 4.30002, 254.8, 241, 11, 27243, 440, 25000, 0.12, 0.809017
16, 254.86, 1652, 252.65, 261.77, 9.12, 257.21, 258, 10, 26705, 1172, 25000, 0.12, 0.844328
17, 262.8, 1114, 262.8, 263.32, 0.52002, 263.06, 278, 15, 29772, 1235, 25000, 0.12, 0.876307
18, 262.13, 1377, 262.13, 263.06, 0.929993, 262.595, 294, 22, 31605, 1114, 25000, 0.12, 0.904827
19, 292.52, 2267, 290.06, 292.27, 2.20999, 291.165, 306, 3, 30340, 150, 25000, 0.12, 0.929776
20, 330.97, 999, 324.04, 324.32, 0.279999, 324.18, 314, 10, 29323, 558, 25000, 0.12, 0.951057
21, 333.99, 2101, 333.99, 334.08, 0.0899963, 334.035, 327, 18, 28307, 541, 25000, 0.12, 0.968583
22, 353.11, 1383, 356.78, -1, -1, 356.78, 343, 0, 28044, 0, 25000, 0.12, 0.982287
23, 408.12, 264, 408.12, 414.48, 6.36002, 411.3, 373, 3, 25821, 96, 25000, 0.12, 0.992115
24, 403.17, 746, 401.75, 403.17, 1.42001, 402.46, 373, 15, 24094, 1190, 25000, 0.12, 0.998027
25, 397.82, 1252, 397.82, 404.21, 6.38998, 401.015, 387, 25, 19841, 1327, -25000, 0.12, 1
