Time, BuyerID, SellerID, Qty, Price, Spread, Type
1, 6, 60, 15, 103.67, 0.09, 0
1, 76, 28, 8, 100.46, 1.16, 1
1, 76, 36, 6, 100.46, 2.28, 1
1, 76, 92, 171, 100.46, 2.37, 1
1, 76, 35, 124, 100.46, 0.98, 1
1, 76, 74, 28, 100.46, 4.98, 1
1, 76, 23, 34, 100.46, 0.09, 1
1, 64, 95, 21, 101.38, 0.08, 0
1, 30, 72, 312, 102.72, 0.36, 1
1, 30, 22, 29, 102.72, 3.86, 1
1, 90, 9, 77, 103.05, 0.12, 0
1, 30, 10, 125, 102.72, 3.07, 1
1, 30, 27, 187, 102.72, 0.05, 1
1, 89, 67, 133, 104.86, 1.28, 0
1, 30, 43, 28, 102.72, 2.53, 1
1, 30, 29, 9, 102.72, 0.87, 1
1, 18, 94, 62, 102.82, 1.76, 0
1, 30, 68, 260, 102.72, 0.75, 1
1, 99, 67, 54, 104.86, 0.52, 0
1, 73, 93, 15, 103.91, 3.76, 1
1, 20, 15, 86, 105.48, 0.83, 0
1, 20, 42, 65, 106.03, 0.28, 0
1, 73, 79, 23, 103.91, 0.75, 1
1, 73, 12, 1, 103.91, 2.73, 1
2, 81, 56, 50, 104.24, 1.18, 0
2, 73, 39, 1, 103.91, 4.5, 1
2, 73, 29, 42, 103.91, 0, 1
2, 73, 6, 13, 103.91, 2.65, 1
2, 28, 30, 3, 104.78, 0.18, 0
2, 71, 30, 286, 104.78, 3.8, 0
2, 71, 32, 19, 106.11, 2.47, 0
2, 71, 84, 63, 106.8, 1.78, 0
2, 71, 76, 169, 107.35, 1.23, 0
2, 71, 36, 16, 108.34, 0.24, 0
2, 7, 38, 151, 109.93, 3.4, 0
2, 7, 91, 23, 111.28, 2.05, 0
2, 58, 60, 49, 113.39, 1.89, 1
2, 58, 97, 526, 113.39, 3.8, 1
2, 93, 92, 11, 113.59, 2.49, 0
2, 47, 92, 119, 113.59, 1.22, 0
2, 83, 92, 172, 113.59, 4.79, 0
2, 58, 34, 81, 113.39, 1.23, 1
2, 58, 90, 42, 113.39, 2.02, 1
2, 49, 1, 58, 115.47, 3.51, 1
2, 35, 84, 80, 117.13, 1.96, 0
2, 98, 84, 27, 117.13, 0.96, 0
2, 45, 68, 6, 121.88, 2.49, 1
2, 27, 11, 7, 127.55, 10.7, 1
2, 27, 67, 12, 127.55, 1.43, 1
2, 16, 61, 5, 131.65, 4.21, 1
2, 52, 12, 109, 127.56, 1.37, 1
2, 51, 88, 70, 131.46, 8.3, 1
2, 51, 43, 42, 131.46, 3.99, 1
2, 51, 91, 18, 131.46, 0.52, 1
2, 55, 79, 5, 132.64, 2.24, 0
2, 55, 99, 2, 133.92, 0.96, 0
3, 45, 99, 45, 133.92, 6.38, 0
