Time, Volume
1, 0
2, 41
3, 124
4, 134
5, 33
6, 58
7, 41
8, 40
9, 19
10, 8
11, 25
12, 4
13, 1
14, 110
15, 194
16, 18
17, 60
18, 140
19, 40
20, 107
21, 209
22, 52
23, 33
24, 104
25, 72
26, 17
27, 5
28, 212
29, 3
30, 34
31, 50
32, 3
33, 347
34, 37
35, 224
36, 31
37, 15
38, 86
39, 61
40, 42
41, 103
42, 321
43, 0
44, 35
45, 83
46, 20
47, 29
48, 1
49, 93
50, 49
51, 99
52, 14
53, 91
54, 0
55, 59
56, 24
57, 109
58, 13
59, 52
60, 37
61, 16
62, 86
63, 54
64, 70
65, 0
66, 181
67, 53
68, 80
69, 37
70, 64
71, 144
72, 21
73, 0
74, 41
75, 38
76, 82
77, 2
78, 83
79, 40
80, 1
81, 54
82, 0
83, 66
84, 39
85, 70
86, 105
87, 7
88, 2
89, 10
90, 154
91, 43
92, 100
93, 2
94, 16
95, 66
96, 63
97, 103
98, 10
99, 25
100, 1
